subj,cycle,trial,phase,type,word1,word2,response,RT,correct,lag
101,0,-1,study,intact,formal,positive,-1,-1.0,-1,-1
101,0,0,study,intact,skin,careful,-1,-1.0,-1,-1
101,0,1,study,intact,upon,miss,-1,-1.0,-1,-1
101,0,2,study,intact,single,tradition,-1,-1.0,-1,-1
101,0,3,study,intact,prove,airport,-1,-1.0,-1,-1
